year,paper_count,bar_chart
2016,80,********************************************************************************
2017,82,**********************************************************************************
2018,102,******************************************************************************************************
2019,117,*********************************************************************************************************************
2020,98,**************************************************************************************************
2021,137,*****************************************************************************************************************************************
2022,140,********************************************************************************************************************************************
2023,188,********************************************************************************************************************************************************************************************
2024,177,*********************************************************************************************************************************************************************************
2025,122,**************************************************************************************************************************
2026,13,*************
